年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2020,7,19,29.8,C
2020,7,20,29.5,C
2020,7,21,29.5,C
2020,7,22,29.8,C
2020,7,23,30.1,C
2020,7,24,29.9,C
2020,7,25,30.0,C
2020,7,26,30.3,C
2020,7,27,29.7,C
2020,7,28,30.1,C
2020,7,29,30.2,C
2020,7,30,30.2,C
2020,7,31,27.7,C
2020,8,1,28.0,C
2020,8,2,27.8,C
2020,8,3,26.5,C
2020,8,4,27.5,C
2020,8,5,27.3,C
2020,8,6,29.2,C
2020,8,7,30.0,C
2020,8,8,29.9,C
2020,8,9,29.1,C
2020,8,10,29.4,C
2020,8,11,29.9,C
2020,8,12,27.5,#
2020,8,13,28.2,C
2020,8,14,28.6,C
2020,8,15,29.1,C
2020,8,16,29.5,C
2020,8,17,28.0,C
2020,8,18,27.2,C
2020,8,19,26.4,C
2020,8,20,28.9,C
2020,8,21,28.8,C
2020,8,22,28.4,C
2020,8,23,29.1,C
2020,8,24,29.8,C
2020,8,25,30.4,C
2020,8,26,29.0,C
2020,8,27,28.1,C
2020,8,28,28.5,C
2020,8,29,29.0,C
2020,8,30,29.0,C
2020,8,31,29.3,C
2020,9,1,29.1,C
2020,9,2,29.6,C
2020,9,3,28.9,C
2020,9,4,29.2,C
2020,9,5,27.3,C
2020,9,6,27.9,C
2020,9,7,28.1,C
2020,9,8,27.0,C
2020,9,9,27.2,C
2020,9,10,27.7,C
2020,9,11,28.2,C
2020,9,12,28.1,C
2020,9,13,28.4,C
2020,9,14,28.3,C
2020,9,15,27.5,C
2020,9,16,30.0,C
2020,9,17,29.0,C
2020,9,18,28.4,C
2020,9,19,27.4,C
2020,9,20,28.1,C
2020,9,21,27.2,C
2020,9,22,28.6,C
2020,9,23,28.9,C
2020,9,24,27.5,C
2020,9,25,27.4,C
2020,9,26,27.7,C
2020,9,27,27.5,C
2020,9,28,26.5,C
2020,9,29,26.5,C
2020,9,30,27.3,C
2020,10,1,26.8,C
2020,10,2,27.5,C
2020,10,3,27.5,C
2020,10,4,27.5,C
2020,10,5,27.7,C
2020,10,6,26.0,C
2020,10,7,24.8,C
2020,10,8,24.6,C
2020,10,9,25.2,#
2020,10,10,25.9,C
2020,10,11,26.9,C
2020,10,12,27.9,C
2020,10,13,24.9,C
2020,10,14,25.9,C
2020,10,15,26.5,C
2020,10,16,27.1,C
2020,10,17,25.8,C
2020,10,18,25.0,C
2020,10,19,24.9,C
2020,10,20,24.9,C
2020,10,21,24.9,C
2020,10,22,24.9,C
2020,10,23,23.8,C
2020,10,24,24.0,C
2020,10,25,24.5,C
2020,10,26,24.8,C
2020,10,27,25.5,C
2020,10,28,24.4,C
2020,10,29,25.1,C
2020,10,30,24.5,C
2020,10,31,23.3,C
2020,11,1,23.6,C
2020,11,2,25.3,C
2020,11,3,23.7,C
2020,11,4,23.2,C
2020,11,5,23.0,C
2020,11,6,23.9,C
2020,11,7,26.6,C
2020,11,8,25.7,C
2020,11,9,23.6,C
2020,11,10,22.7,C
2020,11,11,22.4,C
2020,11,12,21.9,C
2020,11,13,22.1,C
2020,11,14,23.5,C
2020,11,15,23.2,C
2020,11,16,24.5,C
2020,11,17,24.8,C
2020,11,18,25.5,C
2020,11,19,25.2,C
2020,11,20,25.6,C
2020,11,21,23.9,C
2020,11,22,25.3,C
2020,11,23,23.0,C
2020,11,24,23.6,C
2020,11,25,23.9,C
2020,11,26,24.0,C
2020,11,27,23.3,C
2020,11,28,20.7,C
2020,11,29,20.3,C
2020,11,30,19.7,C
2020,12,1,19.7,C
2020,12,2,20.2,C
2020,12,3,18.0,C
2020,12,4,16.6,C
2020,12,5,17.1,C
2020,12,6,18.1,C
2020,12,7,20.8,C
2020,12,8,20.2,C
2020,12,9,19.8,C
2020,12,10,21.1,C
2020,12,11,21.6,C
2020,12,12,20.7,C
2020,12,13,21.3,C
2020,12,14,19.9,C
2020,12,15,15.8,C
2020,12,16,15.5,C
2020,12,17,15.6,C
2020,12,18,17.1,C
2020,12,19,15.7,C
2020,12,20,15.4,C
2020,12,21,17.1,C
2020,12,22,17.6,C
2020,12,23,18.7,C
2020,12,24,19.6,C
2020,12,25,19.0,C
2020,12,26,19.1,C
2020,12,27,19.9,C
2020,12,28,20.0,C
2020,12,29,20.6,C
2020,12,30,15.4,C
2020,12,31,11.1,C
